snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name
422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders
271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions
271795006,Post viral fatigue syndrome,Viral infections NEC,Infections and infestations
419099009,Death,Death and sudden death,General disorders and administration site conditions
62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders
106048009,Dyspnoea,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders"
106048009,Respiratory disorder,Respiratory tract disorders NEC,"Respiratory, thoracic and mediastinal disorders"
230461009,Headache,Headaches NEC,Nervous system disorders
404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders
422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders
367391008,Malaise,Asthenic conditions,General disorders and administration site conditions
13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions
22253000,Pain,Pain and discomfort NEC,General disorders and administration site conditions
271807003,Rash,"Rashes, eruptions and exanthems NEC",Skin and subcutaneous tissue disorders
1912002,Fall,Non-site specific injuries NEC,"Injury, poisoning and procedural complications"
38751004,Toxicity to various agents,Poisoning and toxicity,"Injury, poisoning and procedural complications"
45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations
45007003,Hypotension,Vascular hypotensive disorders,Vascular disorders
79899007,Drug interaction,Interactions,General disorders and administration site conditions
233604007,Pneumonia,Lower respiratory tract and lung infections,Infections and infestations
386661006,Pyrexia,Febrile disorders,General disorders and administration site conditions
279333002,Pruritus,Pruritus NEC,Skin and subcutaneous tissue disorders
193462001,Insomnia,Disturbances in initiating and maintaining sleep,Psychiatric disorders
193462001,"Sleep disorder due to general medical condition, insomnia type",Sleep disorders NEC,Psychiatric disorders
267024001,Abnormal loss of weight,General nutritional disorders NEC,Metabolism and nutrition disorders
267024001,Weight decreased,Physical examination procedures and organ system status,Investigations
29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions
29857009,Chest pain,Pain and discomfort NEC,General disorders and administration site conditions
29857009,Painful respiration,Respiratory signs and symptoms NEC,"Respiratory, thoracic and mediastinal disorders"
79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders
57676002,Arthralgia,Joint related signs and symptoms,Musculoskeletal and connective tissue disorders
