,combination_name,drug_name_1,drug_name_2,snomed_reaction,meddra_preferred_term_name,meddra_high_level_term,meddra_high_level_term_name,total_cases_md_snomed_drugs,total_cases_md_drugs,relative_frequency_md (y_obs),total_cases_sd_snomed_drug1,total_cases_sd_drug_1,total_cases_sd_snomed_drug2,total_cases_sd_drug_2,bliss_independence (y_pred),bliss_ratio,chi2_obs,chi2_exp,chi2_ratio,chi2,p
37,epoprostenol & ambrisentan,epoprostenol,ambrisentan,45007003,Blood pressure decreased,Vascular tests NEC (incl blood pressure),Investigations,21,1186,0.01771,85,7134,45,2956,0.02695,0.65714,0.018025751072961373,0.013052208835341365,1.3810498514361176,1.5209353781995547,0.21747799750746216
103,epoprostenol & ambrisentan,epoprostenol,ambrisentan,367391008,Malaise,Asthenic conditions,General disorders and administration site conditions,29,1186,0.02445,117,7134,56,2956,0.03503,0.69797,0.025064822817631807,0.017444791771705152,1.4368083692627436,2.8181637068916805,0.09320297522357042
129,epoprostenol & ambrisentan,epoprostenol,ambrisentan,22253000,Pain,Pain and discomfort NEC,General disorders and administration site conditions,18,1186,0.01518,98,7134,47,2956,0.02942,0.51598,0.015410958904109588,0.014580191050779286,1.0569792158715163,0.008373020256486643,0.9270919620066591
179,epoprostenol & ambrisentan,epoprostenol,ambrisentan,29857009,Chest discomfort,Pain and discomfort NEC,General disorders and administration site conditions,21,1186,0.01771,116,7134,55,2956,0.03457,0.51229,0.018025751072961373,0.0172396410928521,1.0455989759807243,0.0052578962510521155,0.9421949712110329
193,epoprostenol & ambrisentan,epoprostenol,ambrisentan,49727002,Cough,Coughing and associated symptoms,"Respiratory, thoracic and mediastinal disorders",21,1186,0.01771,62,7134,54,2956,0.0268,0.66082,0.018025751072961373,0.011630238620413074,1.5499038034630752,2.9122082291750515,0.08791143016537492
202,epoprostenol & ambrisentan,epoprostenol,ambrisentan,51476001,Nasopharyngitis,Upper respiratory tract infections,Infections and infestations,14,1186,0.0118,71,7134,20,2956,0.01665,0.70871,0.011945392491467578,0.009100910091009102,1.3125492255185087,0.6162145691440246,0.4324574639925487
209,epoprostenol & ambrisentan,epoprostenol,ambrisentan,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,42,1186,0.03541,272,7134,67,2956,0.05994,0.59076,0.03671328671328671,0.034765665059993844,1.0560214122161025,0.058753144718219234,0.8084776104554732
228,amlodipine & sunitinib,amlodipine,sunitinib,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,7,167,0.04192,10,2170,512,14749,0.03916,1.07048,0.04375,0.031835091785082634,1.3742696360153257,0.3562670352007164,0.5505867735400272
231,levothyroxine & sunitinib,levothyroxine,sunitinib,62315008,Diarrhoea,Diarrhoea (excl infective),Gastrointestinal disorders,10,252,0.03968,454,33683,512,14749,0.04772,0.83152,0.04132231404958678,0.020351409429907725,2.0304399158154096,4.017099722088939,0.045041105891464296
255,epoprostenol & ambrisentan,epoprostenol,ambrisentan,68962001,Myalgia,Muscle pains,Musculoskeletal and connective tissue disorders,11,1186,0.00927,60,7134,21,2956,0.01545,0.6,0.009361702127659575,0.00809271655510041,1.1568058838980826,0.07896808108693687,0.7787007360523602
259,epoprostenol & ambrisentan,epoprostenol,ambrisentan,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,16,1186,0.01349,94,7134,43,2956,0.02754,0.48983,0.013675213675213675,0.013764694062091831,0.9934992825503774,0.0,1.0
272,levothyroxine & sunitinib,levothyroxine,sunitinib,79890006,Decreased appetite,Appetite disorders,Metabolism and nutrition disorders,6,252,0.02381,200,33683,429,14749,0.03486,0.68302,0.024390243902439025,0.013158169989331213,1.8536197603629456,1.5176278811521653,0.2179788187628591
300,epoprostenol & ambrisentan,epoprostenol,ambrisentan,80068009,Oedema peripheral,Oedema NEC,General disorders and administration site conditions,6,1186,0.00506,75,7134,41,2956,0.02423,0.20883,0.005084745762711864,0.011630238620413074,0.4372004675628287,3.529887254174042,0.06027188651716182
303,epoprostenol & ambrisentan,epoprostenol,ambrisentan,106048009,Dyspnoea,Breathing abnormalities,"Respiratory, thoracic and mediastinal disorders",51,1186,0.043,272,7134,126,2956,0.07913,0.54341,0.044933920704845816,0.04106479570780025,1.0942199986717729,0.2642665644298624,0.6072040033249383
326,epoprostenol & ambrisentan,epoprostenol,ambrisentan,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,30,1186,0.0253,145,7134,92,2956,0.05082,0.49784,0.025951557093425604,0.024053587739774687,1.0789058735929218,0.08186035596214337,0.7747919669169138
422,epoprostenol & ambrisentan,epoprostenol,ambrisentan,404640003,Dizziness,Neurological signs and symptoms NEC,Nervous system disorders,31,1186,0.02614,107,7134,78,2956,0.04099,0.63772,0.02683982683982684,0.01867743563856638,1.4370188370188373,3.0365846538640358,0.08140702627024611
471,epoprostenol & ambrisentan,epoprostenol,ambrisentan,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,13,1186,0.01096,158,7134,46,2956,0.03737,0.29328,0.011082693947144074,0.02063524175601861,0.53707604098758,4.34016779144462,0.03722325488306013
478,epoprostenol & ambrisentan,epoprostenol,ambrisentan,422587007,Nausea,Nausea and vomiting symptoms,Gastrointestinal disorders,36,1186,0.03035,260,7134,56,2956,0.0547,0.55484,0.03130434782608696,0.032330673214651114,0.9682553659878923,0.008524411247173807,0.9264376505653928
632,ibandronate & alendronate,ibandronate,alendronate,230461009,Headache,Headaches NEC,Nervous system disorders,10,1352,0.0074,18,560,39,8233,0.03673,0.20147,0.007451564828614009,0.006524725274725275,1.1420503568907365,0.04242004769564635,0.8368211591171584
640,risedronate & alendronate,risedronate,alendronate,230461009,Headache,Headaches NEC,Nervous system disorders,7,818,0.00856,9,593,39,8233,0.01985,0.43123,0.008631319358816275,0.005468215994531784,1.5784525277435262,0.7931479134269238,0.37314995975381016
644,zoledronic acid & alendronate,zoledronic acid,alendronate,230461009,Headache,Headaches NEC,Nervous system disorders,7,522,0.01341,167,24316,39,8233,0.01158,1.15803,0.013592233009708738,0.006369229817889497,2.134046564237911,2.995077842957486,0.08351789882067037
806,levothyroxine & alendronate,levothyroxine,alendronate,271737000,Anaemia,Anaemias NEC,Blood and lymphatic system disorders,7,454,0.01542,14,33683,57,8233,0.00734,2.10082,0.015659955257270694,0.0016967379615246744,9.229448278035102,38.87470464470307,4.51898535473932e-10
930,sunitinib & zoledronic acid,sunitinib,zoledronic acid,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,6,114,0.05263,555,14749,210,24316,0.04594,1.14562,0.05555555555555555,0.019973890339425586,2.7814088598402322,4.83638955556521,0.027865176229098444
1461,ibuprofen & acetaminophen,ibuprofen,acetaminophen,422400008,Vomiting,Nausea and vomiting symptoms,Gastrointestinal disorders,8,234,0.03419,17,1367,17,1408,0.02436,1.40353,0.035398230088495575,0.012404232032105071,2.853722019781364,6.035055556923605,0.014024509467050241
1968,dimethyl fumarate & fingolimod,dimethyl fumarate,fingolimod,279333002,Pruritus,Pruritus NEC,Skin and subcutaneous tissue disorders,6,153,0.03922,101,5225,29,11319,0.02184,1.79579,0.04081632653061224,0.00792006823443402,5.153532182103611,14.774392378435122,0.00012116983630353381
2166,paroxetine & diazepam,paroxetine,diazepam,35489007,Depression,Depressive disorders,Psychiatric disorders,6,177,0.0339,17,1974,9,516,0.0259,1.30888,0.03508771929824561,0.010551948051948052,3.3252361673414303,5.818874749815363,0.015855085092262383
2302,dimethyl fumarate & fingolimod,dimethyl fumarate,fingolimod,165232002,Urinary incontinence,Bladder and urethral symptoms,Renal and urinary disorders,6,153,0.03922,13,5225,36,11319,0.00566,6.92933,0.04081632653061224,0.0029705971506517126,13.740108288213243,50.149088097100964,1.4249733630608548e-12
2427,duloxetine & tramadol,duloxetine,tramadol,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,6,176,0.03409,1604,37323,20,1175,0.05927,0.57516,0.03529411764705882,0.04404187232196127,0.8013764126340192,0.11912283357908818,0.729987801183223
2460,dimethyl fumarate & dalfampridine,dimethyl fumarate,dalfampridine,271795006,Fatigue,Asthenic conditions,General disorders and administration site conditions,6,154,0.03896,168,5225,22,909,0.05557,0.7011,0.04054054054054054,0.0319650067294751,1.2682788051209104,0.10792881965518251,0.742514579284794
3012,quetiapine & sertraline,quetiapine,sertraline,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,15,277,0.05415,10,1163,55,3717,0.02327,2.32703,0.05725190839694656,0.013499480789200415,4.241045214327658,26.004248145671475,3.406669183078444e-07
3013,risperidone & sertraline,risperidone,sertraline,13791008,Asthenia,Asthenic conditions,General disorders and administration site conditions,6,159,0.03774,9,1676,55,3717,0.02009,1.87855,0.0392156862745098,0.012009757928316758,3.2653186274509802,6.354141702389844,0.011710758402085257
